Segment,Metrics,Jan / 2016,Feb / 2016,Mar / 2016,Apr / 2016,May / 2016,Jun / 2016,Jul / 2016,Aug / 2016,Sep / 2016,Oct / 2016,Nov / 2016,Dec / 2016,Jan / 2017,Feb / 2017,Mar / 2017,Apr / 2017,May / 2017,Jun / 2017,Jul / 2017,Aug / 2017,Sep / 2017,Oct / 2017,Nov / 2017,Dec / 2017,Jan / 2018,Feb / 2018,Mar / 2018,Apr / 2018,May / 2018,Jun / 2018,Jul / 2018,Aug / 2018,Sep / 2018
Segment 1,"Total Revenue, $",2663.87825,2347.7365,3405.579,2645.98925,1567.76875,2055.14,3385.73,3757.885,2206.28,3207.27675,1598.16025,1867.89625,3356.48125,4840.6125,2599.50925,2175.54225,4026.315,3196.4815,1313.9475,4610.81675,3299.37275,3777.802,3325.426,1824.68625,3229.22925,3749.07125,3190.56875,3334.64875,5998.7125,1750.1165,2783.92975,3121.7905,2568.85925
,Lost Users (no transactions in next periods),53,51,54,43,25,34,42,53,55,63,37,34,34,29,46,31,32,25,25,30,40,39,46,28,35,31,31,45,35,44,42,46,36
,Total Number of Users,0,100,183,281,346,388,436,504,556,628,703,758,796,843,888,936,970,1007,1037,1060,1092,1137,1173,1219,1252,1285,1320,1345,1386,1422,1457,1496,1534
,Number of Purchases,219,204,282,342,192,198,285,261,216,192,147,153,192,189,231,159,195,174,195,216,240,282,159,123,267,261,123,189,159,180,132,183,102
,Number of Active Users (any transactions during the month),100,107,126,97,77,78,106,98,105,122,86,68,82,83,99,69,70,65,57,74,88,76,81,54,73,71,62,75,63,66,68,66,53
,Returning Users (any transactions in previous month),0,25,27,26,26,21,20,26,18,21,20,16,15,22,23,22,12,18,20,16,22,21,17,8,16,18,18,15,10,14,13,13,15
,Returning Users (any transactions in next periods),48,56,72,54,52,44,64,45,50,59,49,34,48,54,53,38,38,40,32,44,48,37,35,26,38,40,31,30,28,22,26,20,17
,Returning Users (any transactions in next month),30,31,30,29,26,21,32,22,29,30,17,14,23,31,29,17,25,24,17,25,26,23,15,17,21,23,23,16,16,17,17,20,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment 2,"Total Revenue, $",26135.695,16194.1,18406.34,21153.765,20789.7275,12799.03,13417.48,29340.9825,15704.7875,46246.6875,25361.405,14634.5,22486.83,10607.875,16470.0625,19471.4625,19944.32,22176.685,17177.9875,17309.48,13528.855,35954.265,23509.325,21721.4275,22015.045,54364.7725,30521.59,16996.1625,32151.43,22838.1,37200.895,26328.1975,20664.0175
,Lost Users (no transactions in next periods),3,2,6,5,6,6,0,9,5,5,2,7,2,11,4,4,6,6,0,6,1,8,3,2,5,1,7,12,13,4,16,8,12
,Total Number of Users,0,22,31,48,58,69,75,82,94,106,120,123,130,134,145,149,159,166,177,181,188,195,203,208,210,216,222,231,245,253,255,263,274
,Number of Purchases,117,99,132,96,105,78,81,177,78,165,69,96,78,66,96,84,126,162,117,99,123,168,108,156,192,165,195,156,180,114,189,132,114
,Number of Active Users (any transactions during the month),22,24,29,26,31,22,21,33,30,34,29,24,20,27,24,25,29,32,26,31,32,42,39,30,33,31,44,47,47,33,39,35,35
,Returning Users (any transactions in previous month),0,21,11,15,18,14,10,20,19,17,19,12,8,13,15,13,18,19,14,15,21,28,29,21,20,15,24,27,27,22,22,20,21
,Returning Users (any transactions in next periods),20,22,23,21,25,16,21,24,25,29,27,17,18,16,20,21,23,26,26,25,31,34,36,28,28,30,37,35,34,29,23,27,23
,Returning Users (any transactions in next month),15,13,14,16,14,9,15,15,18,19,14,8,11,12,14,15,17,15,15,18,28,29,21,22,14,23,24,27,23,24,17,22,21